agent;autres;colloques;etude_terrain;total;statut
1;0;328,3415631;0;328,3415631;externes
2;0;0;2,363832962;2,363832962;doc_postdoc
3;0;429,8763007;0;429,8763007;externes
4;0;0;4,655187288;4,655187288;Associés/autres
5;0;1,38218314;2,566911545;3,949094685;externes
6;0;87,74404371;248,1475462;335,8915899;doc_postdoc
7;0;600,893816;1115,945658;1716,839474;externes
8;0;3,099849309;0;3,099849309;externes
9;449,3172676;2,360530827;120,4455312;572,1233296;doc_postdoc
10;0;3,710018485;80,64052086;84,35053934;permanents
11;0;220,6969445;409,865754;630,5626984;externes
12;183,535124;0;0;183,535124;externes
13;0;588,4944448;0;588,4944448;Associés/autres
14;0;5,155874421;0;5,155874421;externes
15;0;2272,420533;602,3410653;2874,761598;externes
16;1354,410892;0;0;1354,410892;externes
17;644,0995608;0;0;644,0995608;externes
18;0;542,7455351;1007,955994;1550,701529;Associés/autres
19;3,332565744;0;0;3,332565744;externes
20;0;30,41280089;56,48091594;86,89371683;externes
21;0;1,68420814;0;1,68420814;externes
22;0;0;156,262693;156,262693;permanents
24;0;0;2922,238919;2922,238919;externes
25;0;1118,557473;100,1427916;1218,700264;doc_postdoc
26;0;123,4049655;229,1806501;352,5856156;externes
27;0;5,799676176;0;5,799676176;doc_postdoc
28;465,983169;1203,62566;493,9487418;2163,557571;doc_postdoc
29;0;98,15092322;0;98,15092322;externes
30;4,655187288;0;0;4,655187288;externes
31;353,1318365;0;0;353,1318365;externes
32;0;190,3650827;353,5351536;543,9002362;externes
33;0;353,1318365;0;353,1318365;externes
34;4,679539907;424,2850985;129,2732127;558,237851;externes
35;0;2,836246827;0;2,836246827;externes
36;0;672,4544081;2784,928724;3457,383132;permanents
37;0;799,3172778;1484,446373;2283,763651;externes
38;0;94,68282149;0;94,68282149;externes
39;0;1,760458239;0;1,760458239;externes
40;0;600,893816;1115,945658;1716,839474;externes
41;0;3,943426178;0;3,943426178;externes
42;0;98,34970625;182,6494545;280,9991607;externes
43;0;92,8980454;172,5249415;265,4229869;permanents
44;139,223472;0;0;139,223472;externes
45;1,725575194;0;0;1,725575194;externes
46;0;3,272581;0;3,272581;externes
47;0;2922,370493;3606,617146;6528,98764;Associés/autres
48;0;212,2667938;394,2097599;606,4765537;externes
49;0;458,5792868;851,647247;1310,226534;externes
50;0;4,411377314;0;4,411377314;externes
51;0;290,9587002;0;290,9587002;externes
52;0;0,662656178;1,230647188;1,893303366;externes
54;0;51,10645353;0;51,10645353;externes
55;0;14,54824134;27,01816248;41,56640382;externes
56;2,846711256;535,5242144;30,86768094;569,2386066;Associés/autres
57;280,7906678;418,8241302;1297,30688;1996,921678;permanents
58;0;37,86207849;70,31528862;108,1773671;externes
59;0;176,3055943;327,4246751;503,7302694;externes
60;0;1,531618532;2,844434417;4,376052949;externes
61;0;4,857028179;0;4,857028179;externes
62;4,676958827;537,3325562;283,2977697;825,3072848;permanents
63;6,246116888;0;0;6,246116888;externes
64;4,676958827;50,87704287;1057,405474;1112,959476;doc_postdoc
65;0;133,7128097;248,3237894;382,0365991;externes
66;0;75,25616845;0;75,25616845;Associés/autres
67;0;0;5822,314671;5822,314671;doc_postdoc
68;0;64,12260216;120,7630939;184,885696;doc_postdoc
69;0;0;1,842912547;1,842912547;Associés/autres
70;0;81,65458857;151,6442359;233,2988245;doc_postdoc
71;0;3,254296619;3535,791211;3539,045508;externes
72;1264,504125;0;242,3000481;1506,804173;permanents
73;0;56,90453296;105,6798469;162,5843799;externes
74;334,800865;0;0;334,800865;externes
